,screen_name,tweet_url,timestamp,text
35,JayaOgawa,https://twitter.com/JayaOgawa/status/350282231782195201,27/6/2013 15:59,"Jkt 69 ""@amoristi: New songnya Jkt 49 itu ya?RT @JayaOgawa: #np Kitaro - Silk road #malam #dingin :3"
36,amoristi,https://twitter.com/amoristi/status/350281422336032768,27/6/2013 15:56,New songnya Jkt 49 itu ya?RT @JayaOgawa: #np Kitaro - Silk road #malam #dingin :3
37,winyoosata,https://twitter.com/winyoosata/status/307793721812987906,2/3/2013 10:05,[LTSEnt instru.] Silk road - 喜多郎 Kitaro new orchestration HD:   via @youtube
38,new_hemp,https://twitter.com/new_hemp/status/344549558191259649,11/6/2013 20:19,silk road é uma bosta
39,portodesign,https://twitter.com/portodesign/status/381125164379148288,20/9/2013 18:38,Acesse o Blog e conheça todos os fantásticos wallpapers bordados da coleção New Silk Road:  
40,n_takekawa,https://twitter.com/n_takekawa/status/379567041121763328,16/9/2013 11:26,リヨンの家族＆一緒に制作した作品「New Silk Road」。祇園祭とヨーロッパの謎めいた関係を、交流を通じて繋ぎ直していく作品。 
41,ivanonthemove,https://twitter.com/ivanonthemove/status/379549421261688832,16/9/2013 10:16,"La capacità della #china di fare e comunicare la sua attività geopolitica. La proposta di ""Silk Road economic belt"".  …"
42,Movisolitalia,https://twitter.com/Movisolitalia/status/377096998517620736,9/9/2013 15:51,"Presidente #Cina fa eco a #LaRouche: fondare la #NuovaViaDellaSeta (#NewSilkRoad) - EN> ,  …"
43,up2d,https://twitter.com/up2d/status/403790204567187456,22/11/2013 7:41,"5 Lesetipps für den 22. November: In unseren Lesetipps geht es heute um die Silk Road, die Paywall der New Yor...  "
44,MongfeFong,https://twitter.com/MongfeFong/status/403091497043513344,20/11/2013 9:24,"我將一部影片加到了 @YouTube 播放清單   Kitaro (喜多郎) - Silk Road, Beautiful New Age Relaxing"
45,MongfeFong,https://twitter.com/MongfeFong/status/403091418891026432,20/11/2013 9:24,"我喜歡一部 @YouTube 影片   Kitaro (喜多郎) - Silk Road, Beautiful New Age Relaxing Music"
46,905ism,https://twitter.com/905ism/status/402695190667743233,19/11/2013 7:09,"Kitaro (喜多郎) - Silk Road, Beautiful New Age Relaxing Music:   @youtubeさんから急に聞きたくなった"
47,aldar_bat,https://twitter.com/aldar_bat/status/401395307348361216,15/11/2013 17:04,Төв Азийнхны анхааралд: Москва Сөүлийн ирээдүйн Торгоны зам Putin in Seoul pushes new 'Silk Road' via North Korea  …
48,VirtanenVesa,https://twitter.com/VirtanenVesa/status/401063196330442752,14/11/2013 19:04,Report: The Future of Arctic Shipping - A New Silk Road for China?  … käyttäjältä @ArcticInstitute
49,Gurulu_Chinese,https://twitter.com/Gurulu_Chinese/status/400968573947899904,14/11/2013 12:48,China News: Hauling new treasure along the Silk Road. Xīn de sīchóu zhī lù. 新 的 丝绸 之 路。 More:  
50,afraramazan,https://twitter.com/afraramazan/status/394503311388205056,27/10/2013 16:38,"Kitaro (喜多郎) - Silk Road, Beautiful New Age Relaxing Music:   @youtube aracılığıyla"
51,PRCPSDVI,https://twitter.com/PRCPSDVI/status/394141856365154304,26/10/2013 16:41,"Central Asia’s new silk road, paved by China... …@east_asia_forumIL n'y a pas que le business dans la vie !"
52,ChinaToursBlog,https://twitter.com/ChinaToursBlog/status/393733535934078976,25/10/2013 13:39,Die Teilnehmer der #NewSilkRoad #Rallye haben #Shanghai alle wohlauf erreicht. Mehr dazu:  …
53,kayodeaseweje,https://twitter.com/kayodeaseweje/status/393702013328183296,25/10/2013 11:34,"!!""@DiggKickers: INSTAGRAM IS THE NEW SILK ROAD  """
